date,time,signal,confidence,t2,entry,sl,target,sl_pts,tgt_pts,exit,outcome,max_favorable,pnl_pct,premium_pts,pnl_rs,rsi,vwap,supertrend,vol_ratio,day
2026-04-29,12:10,BUY,NORMAL,4,24293.15,24277.85,24310.4,15.3,17.2,24310.4,TARGET,17.9,0.07,9.3,602.0,57.5,24232.6,Green,1.5,Wednesday
2026-05-04,13:20,SELL,NORMAL,4,24070.75,24085.91,24053.66,15.2,17.1,24053.66,TARGET,46.0,0.07,9.2,596.0,37.9,24186.4,Red,2.1,Monday
2026-05-08,13:55,SELL,HIGH,5,24137.2,24152.41,24120.06,15.2,17.1,24137.2,BE,10.5,0.0,0.0,0.0,38.1,24194.6,Red,2.4,Friday
2026-05-11,12:40,BUY,NORMAL,3,23950.35,23935.26,23967.35,15.1,17.0,23935.26,SL,4.3,-0.06,-7.1,-458.0,57.3,23907.2,Green,2.4,Monday
2026-05-13,11:40,BUY,NORMAL,3,23498.6,23483.8,23515.28,14.8,16.7,23498.6,BE,11.3,0.0,0.0,0.0,53.6,23404.1,Green,2.5,Wednesday
2026-05-14,11:20,BUY,NORMAL,4,23543.15,23528.32,23559.87,14.8,16.7,23559.87,TARGET,34.6,0.07,9.0,583.0,56.6,23498.4,Green,1.5,Thursday
2026-05-18,12:50,BUY,NORMAL,4,23589.25,23574.39,23606.0,14.9,16.7,23606.0,TARGET,48.7,0.07,9.0,584.0,61.8,23457.0,Green,1.7,Monday
2026-05-20,13:55,BUY,NORMAL,4,23628.15,23613.26,23644.93,14.9,16.8,23639.83,TRAIL,16.5,0.05,6.1,399.0,59.8,23565.0,Green,2.1,Wednesday
2026-05-21,12:25,SELL,NORMAL,4,23663.8,23678.71,23647.0,14.9,16.8,23663.8,BE,11.8,0.0,0.0,0.0,46.1,23743.6,Red,3.1,Thursday
2026-05-22,10:40,BUY,HIGH,5,23792.7,23777.71,23809.59,15.0,16.9,23777.71,SL,5.1,-0.06,-7.0,-455.0,58.7,23761.7,Green,1.5,Friday
2026-06-01,13:05,SELL,HIGH,5,23478.65,23493.44,23461.98,14.8,16.7,23461.98,TARGET,25.4,0.07,8.9,582.0,44.0,23555.2,Red,1.6,Monday
2026-06-03,10:25,SELL,HIGH,5,23246.3,23260.95,23229.8,14.6,16.5,23229.8,TARGET,34.2,0.07,8.9,576.0,39.2,23271.4,Red,1.2,Wednesday
2026-06-10,13:00,BUY,HIGH,5,23416.45,23401.7,23433.08,14.8,16.6,23416.45,BE,8.9,0.0,0.0,0.0,56.4,23364.7,Green,1.4,Wednesday
2026-06-12,13:25,BUY,NORMAL,4,23388.95,23374.21,23405.56,14.7,16.6,23405.56,TARGET,40.9,0.07,8.9,579.0,62.7,23359.4,Green,5.4,Friday
2026-06-17,09:30,BUY,NORMAL,3,24032.1,24016.96,24049.16,15.1,17.1,24049.16,TARGET,20.8,0.07,9.2,595.0,59.0,24006.4,Green,1.8,Wednesday
2026-06-24,13:10,BUY,HIGH,5,24031.1,24015.96,24048.16,15.1,17.1,24048.16,TARGET,17.9,0.07,9.2,595.0,57.9,23950.8,Green,1.5,Wednesday
