date,time,signal,structure,entry,sl,target,atr,adx,exit,outcome,spot_pnl,spot_rs,opt_rs,rsi,session,day
2026-05-05,11:45,PE,PDL Break,23904.4,23939.54,23834.11,23.4,34.9,23939.54,SL,-35.1,-247.0,-539.0,39.1,midday,Tuesday
2026-05-05,12:20,CE,Intraday,23967.25,23932.79,24036.16,23.0,28.1,24036.16,TARGET,68.9,188.0,761.0,58.5,midday,Tuesday
2026-05-06,13:35,CE,PDH Break,24103.55,24071.46,24167.73,21.4,26.2,24167.73,TARGET,64.2,166.0,702.0,63.0,afternoon,Wednesday
2026-05-07,13:15,PE,Intraday,24350.7,24407.44,24237.23,37.8,25.8,24328.65,EOD,22.0,-9.0,176.0,48.5,afternoon,Thursday
2026-05-08,13:55,PE,PDL Break,24137.2,24166.99,24077.62,19.9,29.2,24166.99,SL,-29.8,-223.0,-472.0,38.1,afternoon,Friday
2026-05-11,11:20,CE,Intraday,23926.2,23895.1,23988.4,20.7,41.8,23988.4,TARGET,62.2,160.0,677.0,60.9,morning,Monday
2026-05-12,13:40,PE,PDL Break,23506.8,23538.79,23442.81,21.3,35.1,23442.81,TARGET,64.0,172.0,700.0,44.5,afternoon,Tuesday
2026-05-12,14:00,PE,PDL Break,23481.5,23514.55,23415.39,22.0,33.7,23481.5,BE,0.0,-100.0,-100.0,39.4,afternoon,Tuesday
2026-05-13,10:20,CE,Intraday,23460.85,23376.68,23629.19,56.1,23.9,23376.68,SL,-84.2,-459.0,-1152.0,53.5,morning,Wednesday
2026-05-18,12:30,CE,Intraday,23593.95,23550.33,23681.2,29.1,27.1,23593.95,BE,0.0,-100.0,-100.0,63.0,midday,Monday
2026-05-19,10:05,CE,PDH Break,23722.8,23658.57,23851.26,42.8,27.6,23658.57,SL,-64.2,-371.0,-903.0,60.6,morning,Tuesday
2026-05-19,10:10,CE,PDH Break,23753.45,23686.46,23887.42,44.7,27.8,23686.46,SL,-67.0,-382.0,-937.0,64.4,morning,Tuesday
2026-05-19,10:40,CE,PDH Break,23764.75,23714.05,23866.15,33.8,29.6,23714.05,SL,-50.7,-313.0,-734.0,63.9,morning,Tuesday
2026-05-20,11:00,CE,Intraday,23564.45,23519.63,23654.1,29.9,31.9,23564.45,BE,0.0,-100.0,-100.0,56.8,morning,Wednesday
2026-05-21,12:25,PE,Intraday,23663.8,23702.31,23586.77,25.7,20.1,23663.8,BE,0.0,-100.0,-100.0,46.1,midday,Thursday
2026-05-22,12:50,CE,Intraday,23831.55,23806.89,23880.87,16.4,30.5,23806.89,SL,-24.7,-203.0,-408.0,60.8,midday,Friday
2026-06-01,13:05,PE,PDL Break,23478.65,23509.86,23416.23,20.8,22.5,23416.23,TARGET,62.4,166.0,680.0,44.0,afternoon,Monday
2026-06-01,13:10,PE,PDL Break,23460.65,23492.6,23396.75,21.3,24.0,23492.6,SL,-32.0,-236.0,-499.0,36.1,afternoon,Monday
2026-06-02,12:40,CE,Intraday,23371.3,23329.14,23455.62,28.1,23.8,23455.62,TARGET,84.3,261.0,954.0,57.9,midday,Tuesday
2026-06-05,11:20,PE,Intraday,23412.05,23469.42,23297.31,38.2,23.3,23297.31,TARGET,114.7,390.0,1334.0,41.2,morning,Friday
2026-06-10,13:00,CE,PDH Break,23416.45,23388.47,23472.4,18.7,21.6,23388.47,SL,-28.0,-219.0,-450.0,56.4,afternoon,Wednesday
2026-06-17,11:30,CE,PDH Break,24098.65,24077.71,24140.52,14.0,48.8,24077.71,SL,-20.9,-187.0,-362.0,60.3,midday,Wednesday
2026-06-17,11:55,PE,Intraday,24055.1,24078.55,24008.2,15.6,38.5,24008.2,TARGET,46.9,95.0,486.0,41.0,midday,Wednesday
2026-06-19,12:40,PE,PDL Break,23951.95,23972.95,23909.95,14.0,21.6,23951.95,BE,0.0,-100.0,-100.0,44.2,midday,Friday
2026-06-19,13:00,PE,PDL Break,23917.35,23940.39,23871.27,15.4,25.6,23940.39,SL,-23.0,-196.0,-388.0,36.2,afternoon,Friday
2026-06-23,09:35,CE,Intraday,24124.9,24097.15,24180.4,18.5,28.8,24097.15,SL,-27.8,-215.0,-447.0,46.2,morning,Tuesday
2026-06-23,13:30,PE,PDL Break,23869.95,23901.12,23807.6,20.8,57.3,23901.12,SL,-31.2,-231.0,-490.0,35.6,afternoon,Tuesday
2026-06-24,10:00,CE,Intraday,23894.0,23842.61,23996.78,34.3,24.6,23996.78,TARGET,102.8,330.0,1185.0,58.8,morning,Wednesday
2026-06-24,13:10,CE,Intraday,24031.1,24004.45,24084.39,17.8,24.5,24084.39,TARGET,53.3,122.0,566.0,57.9,afternoon,Wednesday
2026-06-25,11:50,CE,PDH Break,24208.4,24185.91,24253.39,15.0,40.7,24253.39,TARGET,45.0,86.0,462.0,61.9,midday,Thursday
